Nome da Foto ID,Cargo,Nome,Partido,Estado,Status,Assinou?
Abilio_Brunini_(PL-MT)_Em_exercício.jpg,Deputado,Abilio_Brunini,PL,MT,Em_exercício,Não
Acácio_Favacho_(MDB-AP)_Em_exercício.jpg,Deputado,Acácio_Favacho,MDB,AP,Em_exercício,Não
Adail_Filho_(REPUBLICANOS-AM)_Em_exercício.jpg,Deputado,Adail_Filho,REPUBLICANOS,AM,Em_exercício,sim
Adilson_Barroso_(PL-SP)_Em_exercício.jpg,Deputado,Adilson_Barroso,PL,SP,Em_exercício,Não
Adolfo_Viana_(PSDB-BA)_Em_exercício.jpg,Deputado,Adolfo_Viana,PSDB,BA,Em_exercício,Não
Adriana_Ventura_(NOVO-SP)_Em_exercício.jpg,Deputado,Adriana_Ventura,NOVO,SP,Em_exercício,Não
Adriano_do_Baldy_(PP-GO)_Em_exercício.jpg,Deputado,Adriano_do_Baldy,PP,GO,Em_exercício,Não
Afonso_Florence_(PT-BA)_Licenciado.jpg,Deputado,Afonso_Florence,PT,BA,Licenciado,Não
Afonso_Hamm_(PP-RS)_Em_exercício.jpg,Deputado,Afonso_Hamm,PP,RS,Em_exercício,Não
Afonso_Motta_(PDT-RS)_Em_exercício.jpg,Deputado,Afonso_Motta,PDT,RS,Em_exercício,sim
Aguinaldo_Ribeiro_(PP-PB)_Em_exercício.jpg,Deputado,Aguinaldo_Ribeiro,PP,PB,Em_exercício,Não
Airton_Faleiro_(PT-PA)_Em_exercício.jpg,Deputado,Airton_Faleiro,PT,PA,Em_exercício,sim
AJ_Albuquerque_(PP-CE)_Em_exercício.jpg,Deputado,AJ_Albuquerque,PP,CE,Em_exercício,Não
Alberto_Fraga_(PL-DF)_Em_exercício.jpg,Deputado,Alberto_Fraga,PL,DF,Em_exercício,Não
Alberto_Mourão_(MDB-SP)_Em_exercício.jpg,Deputado,Alberto_Mourão,MDB,SP,Em_exercício,Não
Albuquerque_(REPUBLICANOS-RR)_Em_exercício.jpg,Deputado,Albuquerque,REPUBLICANOS,RR,Em_exercício,Não
Alceu_Moreira_(MDB-RS)_Em_exercício.jpg,Deputado,Alceu_Moreira,MDB,RS,Em_exercício,Não
Alencar_Santana_(PT-SP)_Em_exercício.jpg,Deputado,Alencar_Santana,PT,SP,Em_exercício,sim
Alexandre_Guimarães_(MDB-TO)_Em_exercício.jpg,Deputado,Alexandre_Guimarães,MDB,TO,Em_exercício,Não
Alexandre_Leite_(UNIAO-SP)_Em_exercício.jpg,Deputado,Alexandre_Leite,UNIAO,SP,Em_exercício,Não
Alexandre_Lindenmeyer_(PT-RS)_Em_exercício.jpg,Deputado,Alexandre_Lindenmeyer,PT,RS,Em_exercício,sim
Alexandre_Padilha_(PT-SP)_Licenciado.jpg,Deputado,Alexandre_Padilha,PT,SP,Licenciado,Não
Alex_Manente_(CIDADANIA-SP)_Em_exercício.jpg,Deputado,Alex_Manente,CIDADANIA,SP,Em_exercício,Não
Alex_Santana_(REPUBLICANOS-BA)_Em_exercício.jpg,Deputado,Alex_Santana,REPUBLICANOS,BA,Em_exercício,Não
Alfredinho_(PT-SP)_Em_exercício.jpg,Deputado,Alfredinho,PT,SP,Em_exercício,sim
Alfredo_Gaspar_(UNIAO-AL)_Em_exercício.jpg,Deputado,Alfredo_Gaspar,UNIAO,AL,Em_exercício,sim
Alice_Portugal_(PCdoB-BA)_Em_exercício.jpg,Deputado,Alice_Portugal,PCdoB,BA,Em_exercício,sim
Aliel_Machado_(PV-PR)_Em_exercício.jpg,Deputado,Aliel_Machado,PV,PR,Em_exercício,sim
Allan_Garcês_(PP-MA)_Em_exercício.jpg,Deputado,Allan_Garcês,PP,MA,Em_exercício,Não
Altineu_Côrtes_(PL-RJ)_Em_exercício.jpg,Deputado,Altineu_Côrtes,PL,RJ,Em_exercício,Não
Aluisio_Mendes_(REPUBLICANOS-MA)_Em_exercício.jpg,Deputado,Aluisio_Mendes,REPUBLICANOS,MA,Em_exercício,Não
Amanda_Gentil_(PP-MA)_Em_exercício.jpg,Deputado,Amanda_Gentil,PP,MA,Em_exercício,sim
Amaro_Neto_(REPUBLICANOS-ES)_Em_exercício.jpg,Deputado,Amaro_Neto,REPUBLICANOS,ES,Em_exercício,Não
Amom_Mandel_(CIDADANIA-AM)_Em_exercício.jpg,Deputado,Amom_Mandel,CIDADANIA,AM,Em_exercício,sim
Amália_Barros_(PL-MT)_Ex-deputado.jpg,Deputado,Amália_Barros,PL,MT,Ex-deputado,Não
Ana_Paula_Leão_(PP-MG)_Em_exercício.jpg,Deputado,Ana_Paula_Leão,PP,MG,Em_exercício,Não
Ana_Paula_Lima_(PT-SC)_Em_exercício.jpg,Deputado,Ana_Paula_Lima,PT,SC,Em_exercício,sim
Ana_Pimentel_(PT-MG)_Em_exercício.jpg,Deputado,Ana_Pimentel,PT,MG,Em_exercício,sim
Andreia_Siqueira_(MDB-PA)_Em_exercício.jpg,Deputado,Andreia_Siqueira,MDB,PA,Em_exercício,sim
André_Fernandes_(PL-CE)_Licenciado.jpg,Deputado,André_Fernandes,PL,CE,Licenciado,Não
André_Ferreira_(PL-PE)_Em_exercício.jpg,Deputado,André_Ferreira,PL,PE,Em_exercício,Não
André_Figueiredo_(PDT-CE)_Em_exercício.jpg,Deputado,André_Figueiredo,PDT,CE,Em_exercício,sim
André_Fufuca_(PP-MA)_Licenciado.jpg,Deputado,André_Fufuca,PP,MA,Licenciado,Não
André_Janones_(AVANTE-MG)_Em_exercício.jpg,Deputado,André_Janones,AVANTE,MG,Em_exercício,sim
Antonio_Andrade_(REPUBLICANOS-TO)_Em_exercício.jpg,Deputado,Antonio_Andrade,REPUBLICANOS,TO,Em_exercício,Não
Antonio_Brito_(PSD-BA)_Em_exercício.jpg,Deputado,Antonio_Brito,PSD,BA,Em_exercício,Não
Antonio_Carlos_Rodrigues_(PL-SP)_Em_exercício.jpg,Deputado,Antonio_Carlos_Rodrigues,PL,SP,Em_exercício,Não
Antônia_Lúcia_(REPUBLICANOS-AC)_Em_exercício.jpg,Deputado,Antônia_Lúcia,REPUBLICANOS,AC,Em_exercício,sim
Antônio_Doido_(MDB-PA)_Em_exercício.jpg,Deputado,Antônio_Doido,MDB,PA,Em_exercício,sim
Any_Ortiz_(CIDADANIA-RS)_Em_exercício.jpg,Deputado,Any_Ortiz,CIDADANIA,RS,Em_exercício,Não
Arlindo_Chinaglia_(PT-SP)_Em_exercício.jpg,Deputado,Arlindo_Chinaglia,PT,SP,Em_exercício,sim
Arnaldo_Jardim_(CIDADANIA-SP)_Em_exercício.jpg,Deputado,Arnaldo_Jardim,CIDADANIA,SP,Em_exercício,Não
Arthur_Lira_(PP-AL)_Em_exercício.jpg,Deputado,Arthur_Lira,PP,AL,Em_exercício,Não
Arthur_Oliveira_Maia_(UNIAO-BA)_Em_exercício.jpg,Deputado,Arthur_Oliveira_Maia,UNIAO,BA,Em_exercício,Não
Augusto_Coutinho_(REPUBLICANOS-PE)_Em_exercício.jpg,Deputado,Augusto_Coutinho,REPUBLICANOS,PE,Em_exercício,Não
Augusto_Puppio_(MDB-AP)_Em_exercício.jpg,Deputado,Augusto_Puppio,MDB,AP,Em_exercício,sim
Aureo_Ribeiro_(SOLIDARIEDADE-RJ)_Em_exercício.jpg,Deputado,Aureo_Ribeiro,SOLIDARIEDADE,RJ,Em_exercício,sim
Aécio_Neves_(PSDB-MG)_Em_exercício.jpg,Deputado,Aécio_Neves,PSDB,MG,Em_exercício,Não
Bacelar_(PV-BA)_Em_exercício.jpg,Deputado,Bacelar,PV,BA,Em_exercício,sim
Baleia_Rossi_(MDB-SP)_Em_exercício.jpg,Deputado,Baleia_Rossi,MDB,SP,Em_exercício,Não
Bandeira_de_Mello_(PSB-RJ)_Em_exercício.jpg,Deputado,Bandeira_de_Mello,PSB,RJ,Em_exercício,sim
Bebeto_(PP-RJ)_Em_exercício.jpg,Deputado,Bebeto,PP,RJ,Em_exercício,sim
Benedita_da_Silva_(PT-RJ)_Em_exercício.jpg,Deputado,Benedita_da_Silva,PT,RJ,Em_exercício,sim
Benes_Leocádio_(UNIAO-RN)_Em_exercício.jpg,Deputado,Benes_Leocádio,UNIAO,RN,Em_exercício,sim
Beto_Pereira_(PSDB-MS)_Em_exercício.jpg,Deputado,Beto_Pereira,PSDB,MS,Em_exercício,Não
Beto_Preto_(PSD-PR)_Em_exercício.jpg,Deputado,Beto_Preto,PSD,PR,Em_exercício,Não
Beto_Richa_(PSDB-PR)_Em_exercício.jpg,Deputado,Beto_Richa,PSDB,PR,Em_exercício,Não
Bia_Kicis_(PL-DF)_Em_exercício.jpg,Deputado,Bia_Kicis,PL,DF,Em_exercício,Não
Bibo_Nunes_(PL-RS)_Em_exercício.jpg,Deputado,Bibo_Nunes,PL,RS,Em_exercício,Não
Bohn_Gass_(PT-RS)_Em_exercício.jpg,Deputado,Bohn_Gass,PT,RS,Em_exercício,sim
Bosco_Costa_(PL-SE)_Suplente_que_exerceu_mandato.jpg,Deputado,Bosco_Costa,PL,SE,Suplente_que_exerceu_mandato,Não
Bruno_Farias_(AVANTE-MG)_Em_exercício.jpg,Deputado,Bruno_Farias,AVANTE,MG,Em_exercício,sim
Bruno_Ganem_(PODE-SP)_Em_exercício.jpg,Deputado,Bruno_Ganem,PODE,SP,Em_exercício,Não
Cabo_Gilberto_Silva_(PL-PB)_Em_exercício.jpg,Deputado,Cabo_Gilberto_Silva,PL,PB,Em_exercício,Não
Caio_Vianna_(PSD-RJ)_Suplente_que_exerceu_mandato.jpg,Deputado,Caio_Vianna,PSD,RJ,Suplente_que_exerceu_mandato,Não
Camila_Jara_(PT-MS)_Em_exercício.jpg,Deputado,Camila_Jara,PT,MS,Em_exercício,sim
Capitão_Alberto_Neto_(PL-AM)_Em_exercício.jpg,Deputado,Capitão_Alberto_Neto,PL,AM,Em_exercício,Não
Capitão_Alden_(PL-BA)_Em_exercício.jpg,Deputado,Capitão_Alden,PL,BA,Em_exercício,Não
Capitão_Augusto_(PL-SP)_Em_exercício.jpg,Deputado,Capitão_Augusto,PL,SP,Em_exercício,Não
Capitão_Samuel_(PP-SE)_Suplente_que_exerceu_mandato.jpg,Deputado,Capitão_Samuel,PP,SE,Suplente_que_exerceu_mandato,Não
Carla_Ayres_(PT-SC)_Suplente_que_exerceu_mandato.jpg,Deputado,Carla_Ayres,PT,SC,Suplente_que_exerceu_mandato,Não
